"nome","sku","departamento","categoria","img","valor","desconto","dt_hora"
"ARROZ ITALIANO RISO INVERNI CARNAROLI 500G",204,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ff043ff5-22ef-43eb-abe1-8c4d0ce1a31a.jpg",15.29,16,"1654631279.301573"
"ARROZ SABORIZADO BLUE VILLE ÁRABE 250G",205,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZARABE265.jpg",5.29,0,"1654631285.487415"
"ARROZ PARBOILIZADO BLUE VILLE 1KG",206,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZPARBOILIZADO576.jpg",5.19,0,"1654631290.734418"
"ARROZ PARBOILIZADO BLUE VILLE 5KG",207,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZPARBOILIZADO265.jpg",24.49,0,"1654631293.795984"
"ARROZ ARBORIO NOR FOODS 1KG",208,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/a76076a0-a713-4bf4-8262-267abe49b2e9.jpg",17.99,0,"1654631298.936367"
"ARROZ CARNAROLI NOR FOODS 1KG",209,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/9512c14a-2d5d-4269-b3b0-597169c433e8.jpg",17.99,0,"1654631304.154363"
"ARROZ E CIA BLUE VILLE BETERRABA 250G",210,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZBETERRABA576.jpg",3.29,0,"1654631309.379091"
"ARROZ E CIA BLUE VILLE CEBOLA 250G",211,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZCEBOLA576.jpg",3.29,0,"1654631314.463924"
"ARROZ PARA SUSHI BLUE VILLE CULINÁRIA JAPONESA 1KG",212,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZJAPONES576.jpg",9.99,0,"1654631319.694678"
"ARROZ BLUE VILLE COM TOMATES SECOS 250G",213,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZTOMATESECO576.jpg",5.29,0,"1654631324.834253"
